-.3992780000D+01 0.3641560000D+02 -.5535510000D+00 0.9448290000D+01 0.1400040000D+02 0.1728970000D+03 0.5000000000D+01 0.5000000000D+01 0.2600000000D+01 0.5046580000D+01 0.1811160000D+02 -.1425290000D+02 0.0000000000D+00 0.4395920000D+00 0.9000000000D-01 0.6980300892D+00 -.6010020857D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
-.1271140000D+00 -.4798020000D+00 0.4426910000D+01 -.2192000000D+02 0.4836230000D+01 0.1923340000D+03 0.5000000000D+01 0.5000000000D+01 0.9000000000D+00 -.1721160000D+02 -.3235740000D-01 0.7903280000D+01 -.3470680000D+01 0.3728090000D+00 0.5000000000D-01 0.6980581013D+00 -.6012694437D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
0.3087950000D+00 0.3553390000D+03 -.4995930000D+01 -.8337190000D+01 -.1374030000D+01 0.1854300000D+03 0.5000000000D+01 0.5000000000D+01 0.4700000000D+01 -.9690600000D+01 0.1207370000D+01 -.6174770000D+01 0.0000000000D+00 0.7998510000D-01 0.1400000000D+00 0.6980612601D+00 -.5986910524D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
-.6626180000D+01 -.1078480000D+02 -.3341670000D+01 -.9647510000D+01 0.8921340000D+01 0.2029330000D+03 0.5000000000D+01 0.5000000000D+01 0.1600000000D+01 -.1332630000D+02 0.1843150000D+02 0.1172820000D+02 0.2058860000D+01 0.1876980000D+00 0.8000000000D-01 0.6980110066D+00 -.6013441176D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
0.7762750000D-01 -.2688220000D+02 0.7455120000D+01 -.7879620000D+01 -.3976720000D+01 0.1819960000D+03 0.5000000000D+01 0.5000000000D+01 0.9000000000D+00 -.1299390000D+02 -.6939060000D+01 -.5516900000D+01 0.0000000000D+00 0.2577360000D+00 0.1300000000D+00 0.6980595849D+00 -.6014607654D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 2
0.6199900000D+01 0.1438250000D+03 0.6225440000D+01 0.1858570000D+02 0.1404080000D+02 0.1825070000D+03 0.5000000000D+01 0.5000000000D+01 0.9000000000D+00 0.1409630000D+02 0.1230710000D+02 -.1398000000D+01 -.3960710000D+01 0.8129100000D-01 0.1700000000D+00 0.6981039492D+00 -.6002237571D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 2
-.8966460000D+00 -.2045850000D+02 -.1068890000D+02 0.7351860000D+01 -.1159930000D+02 0.1974390000D+03 0.5000000000D+01 0.5000000000D+01 0.1200000000D+01 0.6706050000D+01 -.8706990000D+01 0.7267300000D+01 0.0000000000D+00 0.1731160000D+00 0.1700000000D+00 0.6980525250D+00 -.6014142169D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
0.4936610000D+01 -.3297820000D+03 0.1020060000D+02 0.1057580000D+02 0.1812560000D+02 0.2028430000D+03 0.5000000000D+01 0.5000000000D+01 0.2600000000D+01 0.1425310000D+01 0.2466790000D+02 0.1845590000D+02 -.2328230000D+01 0.6261160000D+00 0.1300000000D+00 0.6980947950D+00 -.6036556871D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 2
-.5269250000D+01 0.3331200000D+02 -.1183950000D+02 -.1409200000D+02 -.1381570000D+02 0.2043540000D+03 0.5000000000D+01 0.5000000000D+01 0.7000000000D+00 -.2113930000D+02 -.1443320000D+02 0.1466540000D+02 0.1569160000D+00 0.3799750000D+00 0.5000000000D-01 0.6980208395D+00 -.6010245756D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 2
-.9956330000D+01 0.6837420000D+02 0.8598400000D+01 -.1004510000D+02 0.1634740000D+02 0.2052210000D+03 0.5000000000D+01 0.5000000000D+01 0.7800000000D+01 -.8317690000D+01 0.2353050000D+02 0.4350550000D+01 0.0000000000D+00 0.2519770000D+00 0.9000000000D-01 0.6979868751D+00 -.6007705017D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
0.1132830000D+02 -.6704540000D+01 0.8017060000D+01 -.4812750000D+01 0.7748940000D+00 0.1852400000D+03 0.5000000000D+01 0.5000000000D+01 0.1500000000D+01 -.5678350000D+01 0.1401740000D+01 -.1940890000D+01 0.0000000000D+00 0.4769090000D+00 0.5000000000D-01 0.6981411116D+00 -.6013145505D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
-.1326660000D+02 0.2295320000D+03 -.4969480000D+01 0.1095790000D+02 0.1353720000D+02 0.2196870000D+03 0.5000000000D+01 0.5000000000D+01 0.1100000000D+01 0.1292010000D+01 0.1284290000D+02 0.3230910000D+02 0.0000000000D+00 0.4024320000D+00 0.1000000000D+00 0.6979628876D+00 -.5996026931D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
0.1169480000D+02 -.4291750000D+02 -.9198190000D+01 0.7290860000D+01 0.1607460000D+02 0.1799400000D+03 0.5000000000D+01 0.5000000000D+01 0.3500000000D+01 0.1339780000D+02 0.1631000000D+02 -.1785510000D+02 0.6503910000D+01 0.5049080000D+00 0.4000000000D-01 0.6981437674D+00 -.6015769633D+00 0.6980590224D+00 -.6012659669D+00 0.1000000000D+01 1
